TECHNICAL_TERM,SPARKIE_SYNONYMS
RCD PROTECTION,"[""30mA safety switch"", ""safety switch requirements""]"
AMBIENT TEMPERATURE CORRECTIONS,"[""derating factors"", ""temp adjustments""]"
PROTECTIVE EARTHING CONDUCTOR,"[""4 mil earth"", ""4 square earth""]"
ELECTRICAL EQUIPMENT,"[""AS3000 requirements"", ""IP boxes""]"
EQUIPOTENTIAL BONDING,"[""bonded bathroom"", ""earth strap""]"
BATHROOM INSTALLATIONS,"[""dunny install"", ""loo install""]"
DERATING FACTORS,"[""cable ampacity reduction"", ""cable de-rating""]"
VOLTAGE DROP,"[""3% max VD"", ""cable loss""]"
ELECTRICAL INSTALLATIONS,"[""240V install"", ""LV install""]"
TYPE B CIRCUIT BREAKER,"[""MCCB"", ""Thermal Breaker""]"
6MM² CABLE,"[""6 mil"", ""6 square""]"
EARTH CONDUCTOR REQUIREMENTS,"[""earth wire"", ""earthing conductor""]"
OUTDOOR INSTALLATIONS,"[""external install"", ""open air install""]"
CIRCUIT PROTECTIVE DEVICE,"[""safety switch"", ""safety switches""]"
SOCKET-OUTLETS,"[""GPO strip"", ""RCD GPOs""]"
POWER CIRCUITS,"[""32 amp circuit"", ""32A circuit""]"
CURRENT-CARRYING CAPACITY,"[""amp rating"", ""cable ampacity""]"
KITCHEN INSTALLATIONS,"[""cooking area install"", ""kitchen fit-out""]"
AS3000 WIRING RULES,"[""Australian Standard 3000"", ""Australian Wiring Standards""]"
EXPOSED CONDUCTIVE PARTS,"[""live metal"", ""metal bits""]"
SAFETY SERVICES,"[""Life Support Systems"", ""Emergency Services""]"
SWITCHBOARD,"[""Distribution Boards"", ""Final Distribution Boards""]"
TESTING PROCEDURES,"[""fault finding"", ""pre-connection checks""]"
INDOOR INSTALLATIONS,"[""domestic install"", ""house wiring""]"
POLARITY TESTS,"[""live test"", ""live-dead test""]"
CONTINUITY TESTS,"[""insulation resistance test"", ""meg test""]"
MAIN EARTHING CONDUCTOR,"[""earth cables"", ""MES""]"
LIVING ROOM INSTALLATIONS,"[""residential installs"", ""LRIs""]"
INSULATION RESISTANCE TESTS,"[""IR test"", ""Meg test""]"
WIRING SYSTEMS,"[""armoured cable"", ""electrical circuitry""]"
CONSUMER MAINS,"[""main cables"", ""supply cables""]"
CABLE SELECTION,"[""cable sizing"", ""cable spec""]"
AERIAL CONDUCTORS,"[""high voltage lines"", ""overhead cables""]"
FINAL SUBCIRCUITS,"[""distribution board subcircuit"", ""distribution circuits""]"
PROTECTIVE DEVICES,"[""circuit breaker"", ""circuit breakers""]"
CIRCUIT BREAKER PROTECTION,"[""RCD/CB combo"", ""safety switch""]"
TESTING REQUIREMENTS,"[""certification tests"", ""commissioning tests""]"
MEN CONNECTION,"[""Earth Bond"", ""Insulated Male Connector""]"
GROUPED CABLES,"[""cable bunch"", ""cable loom""]"
NEUTRAL CONDUCTOR,"[""black wire"", ""black wires""]"
CROSS-SECTIONAL AREA,"[""cable gauge"", ""cable size""]"
AUTOMATIC DISCONNECTION OF SUPPLY,"[""auto cut-off"", ""ADS""]"
32A CIRCUITS,"[""32 amp circuit"", ""32A power circuit""]"
EARTH CONDUCTOR,"[""PEC test"", ""green wire""]"
LIGHTING CIRCUITS,"[""lighting feeds"", ""lighting loops""]"
NEW INSTALLATIONS,"[""greenfield site"", ""new build""]"
EARTHING CONDUCTORS,"[""aerial earths"", ""earth cables""]"
MECHANICAL PROTECTION,"[""IP rating"", ""mech guard""]"
OVERCURRENT PROTECTION,"[""circuit breaker"", ""OCP""]"
FREE LENGTH TO LOWEST CONDUCTOR SUPPORT,"[""FL"", ""conductor span""]"
SUBMAINS,"[""distribution board"", ""DB""]"
LIVE PARTS,"[""active part"", ""bare wires""]"
CABLE SIZING,"[""ampacity calculation"", ""cable selection""]"
20M CABLE LENGTH,"[""20 metre cable"", ""20 metre length""]"
MECHANICAL DAMAGE,"["" rough handling"", ""cable armour""]"
MINIMUM 2.5MM² CABLE,"[""2.5 mil"", ""2.5 square""]"
EARTHING REQUIREMENTS,"[""Earth Bonding"", ""Bonding""]"
INSULATION RESISTANCE,"[""IR test"", ""IR testing""]"
MAIN SWITCH,"[""MSB"", ""main breaker""]"
LIVE CONDUCTORS,"[""hots"", ""actives""]"
WIRING ENCLOSURES,"[""connection box"", ""electrical enclosure""]"
ACTIVE CONDUCTORS,"[""current-carrying conductor"", ""hot wire""]"
DOUBLE INSULATION,"[""Class 2"", ""Class II""]"
EXTERNAL INFLUENCES,"[""environmental factors"", ""outside factors""]"
PROTECTION AGAINST ELECTRIC SHOCK,"[""electrical safety"", ""RCD protection""]"
WET AREAS,"[""Zone 1"", ""Zone 2""]"
FLEXIBLE CORDS,"[""extension cord"", ""extension lead""]"
EARTHING SYSTEM,"[""Earth Bonding"", ""telephone earth""]"
CURRENT RATINGS,"[""amp rating"", ""amp size""]"
POLARITY CHECKS,"[""phase rotation check"", ""phase sequence check""]"
CIRCUIT BREAKERS,"[""safety switch"", ""CB""]"
FAULT PROTECTION,"[""RCD requirements"", ""safety switch requirements""]"
ELECTRICAL SYSTEMS,"[""power system"", ""wiring system""]"
FLAMMABLE MATERIALS,"[""ordinary combustibles"", ""combustibles""]"
SAFETY REQUIREMENTS,"[""AS/NZS standards"", ""WorkSafe requirements""]"
DEGREE OF PROTECTION,"[""IP rating"", ""weatherproof rating""]"
DOMESTIC INSTALLATIONS,"[""home wiring"", ""house installs""]"
EARTH FAULT-LOOP IMPEDANCE,"[""EFLI"", ""Zs""]"
ZONE 1,"[""Bathroom zone"", ""Wet area zone""]"
ZONE 2,"[""Outside zone"", ""Zone two""]"
MULTI-CORE CABLE,"[""multi-pair"", ""multi-strand""]"
RECESSED LUMINAIRES,"[""can light"", ""can lights""]"
ELECTRICITY GENERATION SYSTEMS,"[""electrical power source"", ""power gen""]"
CLASSIFIED ZONES,"[""danger zone"", ""haz areas""]"
MAXIMUM VOLT DROP,"[""max Vd"", ""Vd""]"
INSTALLATION REQUIREMENTS,"[""electrical setup"", ""electrical specs""]"
PROSPECTIVE SHORT-CIRCUIT CURRENT,"[""PSCC"", ""available fault current""]"
EARTH ELECTRODE,"[""earthing rod"", ""grounding rod""]"
ISOLATING SWITCH,"[""disconnector switches"", ""iso switches""]"
BASIC PROTECTION,"[""electrical safety requirements"", ""essential safety requirements""]"
EXTRA-LOW VOLTAGE,"[""24 volt"", ""24V circuit""]"
SEPARATED CIRCUIT,"[""isolated circuits"", ""SELV""]"
INSTALLATION LOCATIONS,"[""job site"", ""site location""]"
SHORT-CIRCUIT PROTECTION,"[""circuit breaker"", ""MCB""]"
STAND-ALONE POWER SYSTEMS,"[""SAPS"", ""off-grid systems""]"
RCDS,"[""10mA RCD"", ""Fixed RCD""]"
ZONE 0,"[""inside the bath"", ""Zone Zero""]"
IP RATING,"[""ingress protection code"", ""IP code""]"
CABLE SIZE,"[""conductor sizes"", ""wire sizes""]"
METAL PIPES,"[""pipe work"", ""conduit""]"
POINT OF SUPPLY,"[""main board"", ""main switchboard""]"
INSTALLATION WIRING,"[""cable connections"", ""cable work""]"
COMBUSTIBLE MATERIALS,"[""burnable materials"", ""flammable materials""]"
GENERAL PURPOSE OUTLET,"[""power point"", ""GPO""]"
INSTALLATION CONDITIONS,"[""site requirements"", ""environmental conditions""]"
UNDERGROUND WIRING SYSTEM,"[""UG feeder"", ""buried cable""]"
EXTRANEOUS CONDUCTIVE PARTS,"[""metallic fixtures"", ""bonded metal parts""]"
KITCHEN INSTALLATION LOCATION,"[""appliance outlets"", ""breakfast bar""]"
OVERCURRENT PROTECTIVE DEVICE,"[""circuit breaker"", ""overload protector""]"
RESIDUAL CURRENT DEVICE (RCD),"[""safety switch"", ""RCD""]"
OUTDOOR INSTALLATION LOCATION,"[""exposed locations"", ""external locations""]"
BATHROOM INSTALLATION LOCATION,"[""WC area"", ""Zone 1""]"
MAIN EARTHING TERMINAL/CONNECTION OR BAR,"[""earth terminal"", ""MEN""]"
ZONE 3,"[""wet area"", ""bathroom zone""]"
SWITCHGEAR,"[""LV panel"", ""distribution board""]"
SUPPLY SIDE,"[""upstream"", ""line side""]"
WIRING RULES,"[""electrical standards"", ""AS3000""]"
FAULT CURRENT,"[""MFC"", ""PFC""]"
ELECTRIC SHOCK,"[""RCD protection"", ""earth fault protection""]"
HAZARDOUS AREAS,"[""Ex area"", ""Ex zone""]"
DAMP SITUATIONS,"[""humid locations"", ""moist environments""]"
NOMINAL VOLTAGE,"[""rated voltage"", ""supply voltage""]"
RIPPLE-FREE D.C.,"[""Clean DC"", ""Pure DC""]"
CONDUCTOR SIZING,"[""cable selection"", ""earth size""]"
INDIRECT CONTACT,"[""stray current"", ""touch potential""]"
STRENGTH RATINGS,"[""Ampacity"", ""Amp ratings""]"
THERMAL INSULATION,"[""lagging"", ""bulk insulation""]"
READILY ACCESSIBLE,"[""convenient location"", ""easy access""]"
DISTRIBUTION BOARD,"[""external DB"", ""main switchboard""]"
SINGLE-CORE CABLES,"[""paralleled singles"", ""single strand""]"
PROTECTIVE EARTHING,"[""PE wire"", ""PEN conductor""]"
INSTALLATION DESIGN,"[""electrical layout"", ""electrical plan""]"
CONDUCTIVE FRAMEWORK,"[""bonding system"", ""earth grid""]"
INSTALLATION METHODS,"[""cable laying"", ""cable routes""]"
SHORT-CIRCUIT CURRENT,"[""fault level"", ""SCC""]"
ELECTRICITY CONVERTER,"[""power converters"", ""step-up/step-down transformers""]"
INSTALLATION COUPLERS,"[""quick connects"", ""link""]"
EFFECTIVE SEGREGATION,"[""separate circuits"", ""isolation""]"
EXPLOSIVE ATMOSPHERES,"[""Ex rated"", ""Ex rated area""]"
MAIN EARTHING TERMINAL,"[""MET"", ""earth terminal""]"
PROTECTION REQUIREMENTS,"[""protective devices"", ""temperature cut-off""]"
ARC FAULT DETECTION DEVICES,"[""AFDD"", ""arc fault breaker""]"
MANUFACTURER'S INSTRUCTIONS,"[""maker's specs"", ""product manual""]"
MAXIMUM RATED RESIDUAL CURRENT,"[""max leakage"", ""max RCD trip current""]"
HRC FUSES,"[""high breaking capacity fuses"", ""high rupturing capacity fuses""]"
LOAD SIDE,"[""after the board"", ""after the main switch""]"
MIMS CABLE,"[""Multi-Insulated, Multi-Stranded"", ""Multi-Strand""]"
PELV SYSTEM,"[""Extra Low Voltage"", ""ELV""]"
SELV SYSTEM,"[""Separated Extra Low Voltage"", ""ELV System""]"
NEUTRAL BAR,"[""N bar"", ""neutral busbar""]"
SMOKE ALARMS,"[""fire alarm"", ""smoke detector""]"
FIRE HAZARDS,"[""flammable area"", ""ignition source""]"
WATER HEATERS,"[""HWS"", ""hot water system""]"
CABLE SUPPORT,"[""cleats"", ""cable bracket""]"
MAXIMUM DEMAND,"[""MD calcs"", ""max current draw""]"
SAFE OPERATION,"[""correct function"", ""proper working order""]"
CIRCUIT DESIGN,"[""wiring diagram"", ""schematic""]"
PEN CONDUCTORS,"[""Protective Earth and Neutral"", ""combined earth and neutral""]"
EMERGENCY LIFTS,"[""Fire Lift"", ""Fire Service Lift""]"
LIGHTING POINTS,"[""light fittings"", ""light outlets""]"
WELDING MACHINES,"[""stick welder"", ""ARC""]"
FAULT CONDITIONS,"[""defect"", ""issue""]"
CONDUCTIVE PARTS,"[""live part"", ""metal part""]"
OVERLOAD CURRENT,"[""OLC"", ""overamp""]"
NORMAL OPERATION,"[""as per design"", ""in service""]"
ANGLE IRON STRUTS,"[""stay"", ""brace""]"
WS CLASSIFICATION,"[""Weatherproof Service"", ""WS Class""]"
CLASS II EQUIPMENT,"[""Double Insulated"", ""Class 2""]"
IMPERIAL CONDUCTORS,"[""AWG conductors"", ""British conductors""]"
PHYSICAL SEPARATION,"[""air gap"", ""electrical isolation""]"
BUILDING INSULATION,"[""pink batts"", ""batts""]"
AMBIENT TEMPERATURE,"[""air temperature"", ""room temperature""]"
AIR-HANDLING SYSTEMS,"[""ducted system"", ""ventilation system""]"
SINGLE-PHASE CIRCUIT,"[""1-phase"", ""230V circuit""]"
CONTINUITY OF SUPPLY,"[""no blackouts"", ""unbroken supply""]"
INSULATED CONDUCTORS,"[""flex"", ""cables""]"
EMERGENCY CONDITIONS,"[""Critical Situations"", ""Alarm Conditions""]"
ALUMINIUM CONDUCTORS,"[""Ally cable"", ""Ally conductors""]"
BONDING REQUIREMENTS,"[""earthing"", ""equipotential bonding""]"
GENERAL MASS OF EARTH,"[""ground"", ""earth""]"
UNDERGROUND LOCATIONS,"[""below ground"", ""UGL""]"
ADDITIONAL PROTECTION,"[""back-up protection"", ""extra protection""]"
EARTHING ARRANGEMENTS,"[""Earth Bonding"", ""Bonding""]"
FIXED WATER CONTAINER,"[""tap area"", ""sink""]"
POINT OF INSTALLATION,"[""mounting location"", ""POI""]"
ELECTRICAL SEPARATION,"[""Galvanic Isolation"", ""Electrical Isolation""]"
RATED RESIDUAL CURRENT,"[""30mA RCD"", ""30mA safety switch""]"
NATIONAL BUILDING CODES,"[""BCA"", ""NCC""]"
CATEGORY B WIRING SYSTEM,"[""fire-rated cable"", ""fire-resistant cable""]"
LOWEST CONDUCTOR SUPPORT,"[""FL to LCS"", ""footing bracket""]"
FIRE PUMP CONTROL EQUIPMENT,"[""FPC"", ""fire pump controller""]"
DOMESTIC COOKING APPLIANCES,"[""oven"", ""cooktop""]"
FIXED AND CONTINUOUS BARRIERS,"[""covers"", ""enclosures""]"
INSULATED AND SHEATHED CABLES,"[""PVC flex"", ""flexible cable""]"
FUSES,"[""HRC fuse"", ""blade fuse""]"
BUSBARS,"[""bus ducts"", ""distribution bars""]"
LUMINAIRE,"[""Clearance Lights"", ""DNC Luminaires""]"
TPS CABLE,"[""twin and earth"", ""3 core and earth""]"
EARTH BAR,"[""Main Earthing Terminal"", ""MEN""]"
NORMAL USE,"[""standard operation"", ""everyday use""]"
4MM² CABLE,"[""4 mil"", ""4 square mil""]"
ROOF SPACE,"[""loft"", ""attic""]"
ARM'S REACH,"[""at hand"", ""close by""]"
LOW VOLTAGE,"[""240 volt"", ""240V cables""]"
FIRE SAFETY,"[""fire audit"", ""fire cert""]"
TRANSFORMERS,"[""TX"", ""step-up/step-down""]"
RATED CURRENT,"[""amp rating"", ""ampacity""]"
CIRCUIT LENGTH,"[""cable run"", ""cable length""]"
SWIMMING POOLS,"[""pool zone"", ""pool""]"
CIRCUIT ORIGIN,"[""distribution board"", ""main board""]"
CABLE TRUNKING,"[""conduit"", ""cable duct""]"
LIMITED ACCESS,"[""confined space"", ""tight spot""]"
NORMAL SERVICE,"[""regular power"", ""standard supply""]"
CONDUCTOR TYPE,"[""cable size"", ""wire size""]"
CABLE DERATING,"[""ampacity reduction"", ""current-carrying capacity reduction""]"
CONDUCTOR SIZE,"[""cable gauge"", ""cable sizes""]"
JUNCTION BOXES,"[""connection box"", ""link box""]"
DIRECT CONTACT,"[""live touch"", ""bare contact""]"
FUNCTIONAL UNIT,"[""distribution boards"", ""DBs""]"
BATTERY SYSTEMS,"[""energy storage system"", ""ESS""]"
X-RAY EQUIPMENT,"[""X-ray machine"", ""medical imaging equipment""]"
GALVANIC ACTION,"[""dissimilar metal corrosion"", ""electrolytic action""]"
GENERATING SETS,"[""gen set"", ""generator""]"
BARE CONDUCTORS,"[""bare wires"", ""exposed conductors""]"
REFERENCE POINT,"[""benchmark"", ""datum""]"
HARMFUL EFFECTS,"[""damage"", ""electrocution""]"
CIRCUIT RATINGS,"[""ampacity"", ""amp ratings""]"
CIRCUIT CURRENT,"[""amp draw"", ""ampacity""]"
IPX4 PROTECTION,"[""IP rating"", ""splashproof""]"
SHEATHED CABLES,"[""single-core flex"", ""TPS""]"
50 MM SEPARATION,"[""50mm spacing"", ""50 mil separation""]"
METAL PARTITIONS,"[""steel framing"", ""steel studs""]"
RESIDUAL CURRENT,"[""earth leakage"", ""safety switch""]"
PROTECTIVE EARTH,"[""PE"", ""ground""]"
SEPARATED SUPPLY,"[""dedicated supplies"", ""isolated supplies""]"
BASIC INSULATION,"[""basic insul"", ""primary insulation""]"
EQUIPMENT DAMAGE,"[""gear failure"", ""machinery breakdown""]"
MEN INSTALLATION,"[""Multiple Earth Neutral"", ""main earthing system""]"
EARTHING CONTACT,"[""bonding point"", ""earth""]"
CIRCUIT INTEGRITY,"[""fire rated"", ""fire resistant""]"
DIRECT CONNECTION,"[""hard wired"", ""hardwired""]"
MECHANICAL STRESS,"[""excessive strain"", ""over-stress""]"
BONDING CONDUCTOR,"[""earthing strap"", ""earthing straps""]"
COPPER CONDUCTORS,"[""copper cables"", ""copper leads""]"
SWITCHING DEVICES,"[""changeover switch"", ""breaker""]"
HEATING EQUIPMENT,"[""electric heater"", ""heat exchanger""]"
VEHICLE CONNECTOR,"[""12V plug"", ""Anderson plug""]"
SUPPLY CONDUCTORS,"[""active and neutral"", ""mains cables""]"
ELECTRICAL SAFETY,"[""OH&S"", ""WHS""]"
CONDUCTIVE PIPING,"[""earth bonding"", ""bonded piping""]"
MULTIPHASE CIRCUIT,"[""multi-phase"", ""three-phase""]"
CONDUCTIVE SHEATHS,"[""screened cables"", ""shielded cables""]"
CATEGORY A SYSTEMS,"[""Fire-Resistant cable"", ""Fire-Resistant wiring""]"
DISCONNECTION TIME,"[""isolation times"", ""lockout times""]"
PROTECTION METHODS,"[""protective devices"", ""safety measures""]"
CONNECTION METHODS,"[""hooking up"", ""connections""]"
CATEGORY B SYSTEMS,"[""Cat B"", ""Fire-Rated Cable Systems""]"
CIRCUIT PROTECTION,"[""safety switch"", ""CB""]"
CONNECTING DEVICES,"[""lugs"", ""connectors""]"
MINIMUM CLEARANCES,"[""clearance space"", ""electrical clearance""]"
CIRCUIT CONDUCTORS,"[""active"", ""cables""]"
SUSPENDED CEILINGS,"[""T-bar ceiling"", ""drop ceiling""]"
CONDUCTOR MATERIAL,"[""wire"", ""aluminium""]"
COMPLIANCE CHECKING,"[""Certification check"", ""Electrical inspection""]"
THREE-PHASE CIRCUIT,"[""TPS"", ""3-phase""]"
ZONE CLASSIFICATION,"[""Ex zones"", ""explosion zones""]"
INSULATING MATERIAL,"[""insulant"", ""insulation""]"
EXTERNAL CONDUCTORS,"[""aerial cables"", ""drop lines""]"
FUNCTIONAL SWITCHES,"[""function switches"", ""intelligent switches""]"
ELECTRICAL CIRCUITS,"[""wiring loops"", ""electrical loops""]"
ADEQUATE PROTECTION,"[""correct polarity"", ""proper earthing""]"
GENERAL REQUIREMENTS,"[""job specs"", ""overall specs""]"
STRUCTURAL METALWORK,"[""metal fab"", ""metal framing""]"
UNEARTHED CONDUCTORS,"[""live wires"", ""active conductors""]"
STRUCTURAL INTEGRITY,"[""load-bearing capacity"", ""safety and stability""]"
HIGH VOLTAGE SYSTEMS,"[""HV"", ""HV systems""]"
CONDUCTOR INSULATION,"[""cable sheath"", ""jacket""]"
REINFORCED INSULATION,"[""Class II"", ""Double Insulated""]"
ELECTRICAL CONDUCTORS,"[""cables"", ""leads""]"
CONDUCTIVE ENCLOSURES,"[""bonded enclosures"", ""earthed enclosures""]"
MAXIMUM ROUTE LENGTHS,"[""cable length limit"", ""max cable run""]"
ISOLATING TRANSFORMER,"[""Galvanic Isolator"", ""Isolator""]"
CABLE CURRENT CAPACITY,"[""CCC"", ""ampacity""]"
FAULT-CURRENT LIMITERS,"[""current limiter"", ""fault limiter""]"
CLEARANCE REQUIREMENTS,"[""minimum gap"", ""safe distance""]"
HIGH TEMPERATURE PARTS,"[""thermal components"", ""heat resistant parts""]"
OPERATING TEMPERATURES,"[""ambient temp"", ""ambient temps""]"
ELECTRICAL ACCESSORIES,"[""switchgear"", ""electrical components""]"
EXCESSIVE TEMPERATURES,"[""high temps"", ""overheating""]"
INSTALLATION GUIDELINES,"[""fitting instructions"", ""install guide""]"
SUPPLEMENTARY INSULATION,"[""additional insulation"", ""double insulation""]"
ENVIRONMENTAL CONDITIONS,"[""ambient conditions"", ""external conditions""]"
SEGREGATION REQUIREMENTS,"[""isolation"", ""separation""]"
CATEGORY A WIRING SYSTEM,"[""fire-rated cable"", ""fire-resistant cable""]"
RESIDENTIAL INSTALLATIONS,"[""domestic installs"", ""domestic jobs""]"
NATIONAL CONSTRUCTION CODE,"[""BCA"", ""NCC""]"
WIRING SYSTEM REQUIREMENTS,"[""cabling specs"", ""electrical installation requirements""]"
PROTECTIVE DEVICE SELECTION,"[""circuit breaker selection"", ""fault protection selection""]"
SAFE INSTALLATION AND DESIGN,"[""AS3000 Compliant"", ""Compliant Install""]"
FUNDAMENTAL SAFETY PRINCIPLES,"[""SWMS"", ""WHS""]"
CONDUCTIVE BUILDING MATERIALS,"[""metallic fixtures"", ""bonding materials""]"
ELECTRICAL CONDUITS AND CABLES,"[""cable runs"", ""cable trays""]"
SENSITIVE ELECTRONIC EQUIPMENT,"[""comms gear"", ""computer equipment""]"
GRADE 350 STEEL SQUARE SECTION,"[""350 RHS"", ""350 SHS""]"
GRID-CONNECTED INVERTER SYSTEMS,"[""grid connect"", ""GCIS""]"
GENERAL ELECTRICAL INSTALLATION,"[""electrical fitout"", ""electrical setup""]"
FIRE DETECTION AND ALARM SYSTEMS,"[""smoke detectors"", ""FDAS""]"
BATHROOM ELECTRICAL INSTALLATION,"[""ensuite install"", ""loo wiring""]"
SHORT-CIRCUIT WITHSTAND STRENGTH,"[""fault level"", ""SCC""]"
CABLE INSTALLATION AND MANAGEMENT,"[""cable install"", ""cable laying""]"
NOMINAL A.C. R.M.S. VOLTAGE TO EARTH,"[""line voltage"", ""mains voltage""]"
PERMANENTLY CONNECTED DISCHARGE DEVICE,"[""fixed RCD"", ""hardwired RCD""]"
MECHANICAL INTEGRITY OF ELECTRICAL INFRASTRUCTURE,"[""equipment condition"", ""plant condition""]"
DBO,"[""DB Outlet"", ""Distribution Board Outlet""]"
IP4X,"[""IP rating 4X"", ""Ingress Protection 4X""]"
SELV,"[""Safety Extra Low Voltage"", ""Separated Extra Low Voltage""]"
VA/M²,"[""load density"", ""VA per square metre""]"
LIFTS,"[""compact lift"", ""machine room-less lift""]"
CRANES,"[""lifting gear"", ""overhead crane""]"
MARINAS,"[""boat docks"", ""jetties""]"
AIR GAP,"[""electrical clearance"", ""isolation gap""]"
BALLASTS,"[""control gear"", ""electronic control gear""]"
MEN LINK,"[""earth bond"", ""main earth""]"
EARTHING,"[""bonding"", ""earth""]"
BATHROOMS,"[""Zone 1"", ""Zone 2""]"
25 METERS,"[""25m length"", ""25m run""]"
FIRE RISK,"[""fire hazard"", ""ignition risk""]"
TYPE A RCD,"[""10mA RCD"", ""30mA RCD""]"
ARC LENGTH,"[""spark gap"", ""arc gap""]"
INSULATION,"[""cable coating"", ""cable sheath""]"
CLEAR VIEW,"[""line of sight"", ""visual clearance""]"
LIFT SHAFT,"[""elevator shaft"", ""lift pit""]"
LOAD GROUP,"[""distribution board"", ""DB""]"
TYPE B RCD,"[""safety switch"", ""RCD""]"
AERIAL LINE,"[""high voltage lines"", ""overhead cable""]"
MAXIMUM SAG,"[""lowest point"", ""max dip""]"
MEN SYSTEMS,"[""main earthing system"", ""MEN connection""]"
VENTILATION,"[""adequate airflow"", ""good airflow""]"
AGED WIRING,"[""existing wiring"", ""legacy wiring""]"
D.C. SUPPLY,"[""DC power"", ""direct current""]"
LAMPHOLDERS,"[""batten holder"", ""light socket""]"
SPAN LENGTH,"[""wire run"", ""cable span""]"
OUTBUILDINGS,"[""detached buildings"", ""external buildings""]"
LAMP WATTAGE,"[""globe wattage"", ""lamp size""]"
ROOM HEATERS,"[""radiators"", ""electric heaters""]"
CABLE SHEATH,"[""insulation jacket"", ""insulation""]"
5.6 MM PROBE,"[""5.6mm multimeter lead"", ""5.6mm test probe""]"
TEST VOLTAGE,"[""insulation test"", ""megger test""]"
HEATED PARTS,"[""current-carrying parts"", ""hot parts""]"
WSX2 SYSTEMS,"[""2-Pole Weatherproof Socket"", ""IP66 Socket Outlet""]"
